PROJECT,DEPARTMENT,IMPROVEMENT TYPE,ADDRESS,LOCATION TIF,LOCATION TIF NUMBER,FUNDING TIF,FUNDING TIF NUMBER,PROJECT SUMMARY,TIF REQUEST,TOTAL PROJECT COST,PERCENTAGE OF TIF,TIC MEETING DATE,TIC DECISION,LOCATION
Chicago Public Library  Capital Strategic Plan,DPD,Planning and Administration,Various,Humboldt Park,T-108,Humboldt Park,T-108,"CPL is seeking a consultant to create a comprehensive design and strategies guide for facilities design, planning, and improvements for the next 20 years, with an emphasis on a five-year commitment towards addressing the Facilities with highest needs.",6173,500000,0.01,04/25/2023,Approved,
4330 S Vernon Alley Reconstruction,CDOT,Public Infrastructure,4300-4400  South Vernon Av,47th King,T-118,47th King,T-118,"The purpose of this project is to reconstruct the alley bound by E. 43rd Street (N); E. 44th Street (S). N. S. Martin Luther King Drive (W); S. Vincennes Avenue (E) In order to alleviate the existing drainage issue at the alley and the private properties. The scope of work includes installation of catchbasins and storm sewer pipes, concrete",750000,750000,1,09/24/2024,Approved,POINT (-87.6153 41.81652)
CDOT/BOE Polling Place ADA Accessibility Improvements,CDOT,Public Infrastructure,,107th Halsted,T-176,107th Halsted,T-176,"Repair/replace non-compliant sidewalk, curb and gutter within the public Right-of-Way at all City owned polling locations.",92023,14859552,0.65,09/21/2021,Approved,POINT (-87.63245 41.88425)
3843-59 W Madison - Acquisition Authority,DPD,Economic Development,3843-59 W Madison,Madison/Austin,T-075,Madison/Austin,T-075,The City will acquire acquisition authority for these properties and engage a broker to pursue acquisition. In order to fund the acquisition and related soft costs.,1439085,1439085,1,12/20/2022,Approved,POINT (-87.72276 41.88077)
Ornamental Street Light Pole Replacement,CDOT,Public Infrastructure,Various Addresses,107th Halsted,T-176,107th Halsted,T-176,Replace damaged ornamental street light poles.,300000,300000,1,04/07/2020,Approved,
Sangamon Paseo Acquisition - 947 Cullerton,DPD,Parks and Open Spaces,947 West Cullerton St,Pilsen Ind Corr,T-053,Pilsen Ind Corr,T-053,DPD initiated condemnation of 947 W Cullerton for open space next to the planned Paseo. Request is for additional TIF to reach a settlement for purchase. The site is now informally used as open space.,900000,1300000,1,07/09/2019,Approved,POINT (-87.64984 41.85529)
Urban Main Street Program: Phase I and II,DPD,"Plans, Studies, and Administration",,Commercial Avenue,T-128,Commercial Avenue,T-128,"The Neighborhood Main Streets project seeks to coordinate public investment in public spaces and arts in order to enhance commercial areas, respond to changing commercial trends in retail and services, enrich local culture, and stabilize populations.",41057,41057,1,10/01/2019,Approved,POINT (-87.63245 41.88425)
TIFWorks,DPD,Economic Development,Various,Madison/Austin,T-075,Madison/Austin,T-075,"Funding to support the new TIFWorks Trainer Led Model (Model 4), which is meant to support micro and small business in a downturning economy.",100000,100000,1,09/15/2020,Approved,
Webster Ave Bridge - Additional Funding,CDOT,Public Infrastructure,1430-1600 West Webster Av,Cortland Chicago River,T-183,North Branch North,T-033,Rehabilitation of existing bascule bridge,6000000,27000000,0.22,06/22/2021,Approved,POINT (-87.6688 41.92155)
Roof Program- Levy Senior Center,AIS,Municipal Facilities,2019 West Lawrence Av,Western Av North,T-084,Western Av North,T-084,Remove and replace roofing and insulation down to the decking.,1200000,1200000,1,08/23/2022,Approved,POINT (-87.68004 41.96875)
Ruiz ES - Roof,CPS,Schools,2410 South Leavitt St,Pilsen Ind Corr,T-053,Pilsen Ind Corr,T-053,Provide a full roof replacement and targeted masonry repairs at the main building and modular building.,6500000,6500000,1,02/11/2020,Under Further Review,POINT (-87.68111 41.84765)
CDOT/BOE Polling Place ADA Accessibility Improvements,CDOT,Public Infrastructure,,Clark Ridge,T-074,Clark Ridge,T-074,"Repair/replace non-compliant sidewalk, curb and gutter within the public Right-of-Way at all City owned polling locations.",148747,14859552,0.65,09/21/2021,Approved,POINT (-87.63245 41.88425)
CPS Feasibility Study (Fiske),DPD,"Plans, Studies, and Administration",6145 South Ingleside Av,Woodlawn,T-065,Woodlawn,T-065,Consulting services needed to assist in developing an RFP to redevelop a vacant CPS owned property. Consultants will: Assist in Determining Scope of Work; Model Development Scenarios. Develop Concepts Renderings; Model Financial Projections.,100000,100000,1,12/15/2020,Under Further Review,POINT (-87.60205 41.78254)
Halsted & Hubbard Traffic Signal,CDOT,Public Infrastructure,800 West Hubbard St,Kinzie Industrial Corridor,T-052,Kinzie Industrial Corridor,T-052,Installation of new traffic signal at intersection that is currently partially stop controlled.,600000,600000,1,02/22/2022,Approved,POINT (-87.64776 41.89006)
Roosevelt Park,Park District,Parks and Open Spaces,62 West Roosevelt Rd,River South,T-037,River South,T-037,"Planned improvements include to resurface the tennis courts, upgrade the
existing play area and outdoor fitness station and resurface the walking path.
Site improvements to also include additional benches lighting upgrades as
needed.",400000,400000,1,01/19/2021,Approved,POINT (-87.62937 41.86745)
Traffic Calming - Racine (35th to Pershing),CDOT,Public Infrastructure,3500-3900 S Racine,35th Halsted,T-001,35th Halsted,T-001,Implementation of traffic calming elements to reduce speeding,300000,300000,1,05/06/2020,Approved,POINT (-87.65651 41.82921)
Concrete Protected Bike Lanes - 2023,CDOT,Public Infrastructure,4000-5200  West Lake St,Northwest Ind Corr,T-064,Northwest Ind Corr,T-064,Installation of concrete curb protected bike lanes.,766000,3932000,0.19,03/28/2023,Approved,POINT (-87.72615 41.88616)
CPS Environmental Conditions Assessment (Ross),DPD,Economic Development,6059 S Wabash Ave,Washington Park,T-178,Washington Park,T-178,"Environmental and real estate reports (Phase I, II, HMBS, appraisal, title report)",62069,62069,1,08/18/2020,Approved,POINT (-87.62381 41.78426)
Small Business Improvement Fund,DPD,Economic Development,,Western Rock Island,T-142,Western Rock Island,T-142,Authorization to use TIF funds for SBIF Program in designated TIF districts. SBIF uses TIF revenues to provide grants to small commercial and industrial businesses and property owners to help fund permanent improvements to their buildings.,500000,500000,1,08/24/2021,Approved,POINT (-87.63245 41.88425)
Cardenas - Playground Replacement,CPS,Schools,2345 South Millard Av,Ogden Pulaski,T-161,Ogden Pulaski,T-161,"Replace the playground with new, safer poured-in-place surface and replace aging play equipment to serve the broader student age population.",550000,550000,1,04/20/2021,Approved,POINT (-87.71612 41.84837)
Farnsworth ES - Roof/Windows & Modular Refurbishment,CPS,Schools,5414 North Linder Av,Elston Armstong,T-153,Elston Armstong,T-153,"Provide window replacement for main and modular buildings + modular roof replacement and refurbish existing modular building including exterior, mechanical and interior finishes.",1600000,4980000,0.32,03/22/2022,Approved,POINT (-87.76593 41.97997)
Small Business Improvement Fund,DPD,Economic Development,Various,Portage Park,T-058,Portage Park,T-058,Authorization of a 3-year allocation of TIF funds for SBIF Program in designated TIF districts. SBIF uses TIF revenues to provide grants to small commercial and industrial businesses and property owners to help fund improvements to their buildings.,2000000,2000000,1,12/03/2019,Approved,
87th St Lighting from Jeffery to Avalon,CDOT,Public Infrastructure,1300-2000  East 87th St,Stony Island Burnside,T-054,Stony Island Burnside,T-054,"Installation of new arterial roadway lighting system on 87th St from Jeffery to Avalon in the 8th Ward. Work to include survey, design and installation of arterial smart lighting system.",4000000,4000000,1,07/26/2022,Approved,POINT (-87.59333 41.7368)
Big Marsh OSLAD,Park District,Parks and Open Spaces,11555 S Stony Island Ave,Lake Calumet,T-103,Lake Calumet,T-103,Planned additions to Big Marsh include a primitive camping area with 12 tent platforms â€” a first for the Park District â€” as well as a wildlife observation platform offering panoramic views and a fully accessible trail.,1500000,2400000,0.63,11/17/2020,Approved,POINT (-87.57557 41.6814)
Administrative Hearings Complex,AIS,Municipal Facilities,400 West Superior St,Chicago Kingsbury,T-094,Chicago Kingsbury,T-094,"Exterior/Envelope: Tuckpointing, Windows and roof repair. MEP: Remove/replace condensing unit and chillers. Upgrade Building Automation System (BAS). Upgrade existing fire alarm system. Elevator Modernization.",10000000,10000000,1,12/14/2021,Approved,POINT (-87.63889 41.89551)
Morton Salt Infrastructure Improvements,DPD,Economic Development,1357 North Elston Av,North Branch South,T-034,North Branch South,T-034,Reconstruction of the public right-of-way in various locations necessary to accommodate the impact of the redevelopment of the former Morton Salt factory.,3500000,3500000,1,10/19/2021,Approved,POINT (-87.65985 41.90667)
TIFWorks,DPD,Economic Development,Various,Ogden Pulaski,T-161,Ogden Pulaski,T-161,"Funding to support the new TIFWorks Trainer Led Model (Model 4), which is meant to support micro and small business in a downturning economy.",100000,100000,1,09/15/2020,Approved,
Legler Library,AIS,Municipal Facilities,115 South Pulaski Rd,Madison/Austin,T-075,Madison/Austin,T-075,Masonry (tuckpointing),315000,315000,1,04/20/2021,Approved,POINT (-87.72561 41.87932)
Water and Sewer Improvements,DWM,Public Infrastructure,Various,Archer Western,T-163,Archer Western,T-163,"Replace water main, sewer main and line existing sewer main located within 59 investigated TIF boundaries throughout the City of Chicago.",60535,60535,1,04/07/2020,Referred Back to Department,
Neighborhood Lighting Infrastructure,CDOT,Public Infrastructure,,Jefferson Roosevelt,T-101,Jefferson Roosevelt,T-101,"City-wide program to replace condition 1 poles, ""all-outs"", temporary aerial wires and light fixtures to support the City's Smart Lighting Program for lighting infrastructure located within TIF district boundaries.",2500000,2500000,1,09/03/2019,Approved,POINT (-87.63245 41.88425)
7432 S East End Speed Humps,CDOT,Public Infrastructure,7400-7500  South East End Av,71st Stony Island,T-060,71st Stony Island,T-060,Installation of speed humps on the 7400 block of S East End Ave.,9760,9760,1,08/27/2024,Approved,POINT (-87.58359 41.76049)
CDOT/BOE Polling Place ADA Accessibility Improvements,CDOT,Public Infrastructure,,Madden Wells,T-126,Madden Wells,T-126,"Repair/replace non-compliant sidewalk, curb and gutter within the public Right-of-Way at all City owned polling locations.",69000,14859552,0.65,09/21/2021,Approved,POINT (-87.63245 41.88425)
"Randolph St. Streetscape, Des Plaines to Ogden",CDOT,Public Infrastructure,640-1432 West Randolph St,Kinzie Ind Corr,T-052,Kinzie Ind Corr,T-052,Streetscape project on Randolph.  Design phase will evaluate various alternatives for the existing service drives.,4500000,6000000,0.75,05/08/2023,Approved,POINT (-87.64448 41.88475)
Engine Co. 88,AIS,Municipal Facilities,3637 West 59th St,51st Archer,T-097,51st Archer,T-097,MEP: Remove and replace condensing unit for the firehouse. Upgrade Building Automation System (BAS). Remove and replace data room a/c.,525000,525000,1,06/22/2021,Approved,POINT (-87.71495 41.78607)
District 20 CPD,AIS,Municipal Facilities,5400 N Lincoln Ave,Lincoln Ave,T-077,Lincoln Ave,T-077,MEP,1500000,1500000,1,05/25/2021,Approved,POINT (-87.69276 41.98006)
Western Avenue Corridor Development Opportunities Analysis,DPD,Planning and Administration,3600-7578  North Western Av,Touhy Western,T-146,Touhy Western,T-146,Real estate market demand analysis for development opportunities following the Western Avenue Corridor Study.,20000,80000,0.25,02/28/2023,Approved,POINT (-87.69065 42.01919)
Kenwood Academy - Site Improvements/Landscaping & Link (Pedway),CPS,Schools,5015 South Blackstone Av,53rd Street,T-105,53rd Street,T-105,Proposed improvements consist of creating an enclosed connection between the main Kenwood Academy campus and the Canter building as well as landscaping and other site enhancements.,7500000,7500000,1,11/17/2020,Approved,POINT (-87.5905 41.80341)
2100-2600 W Irving Park Road Pedestrian Improvements,CDOT,Public Infrastructure,2100-2600 West Irving Park Rd,Western Av South,T-085,Western Av South,T-085,"The project consists of curb extensions, median nose extension, crosswalks, and rectangular rapid flashing beasons (RRFB) to improve pedestrian safety along Irving Park Road.",1150000,1250000,0.92,03/28/2023,Approved,POINT (-87.68135 41.95411)
Pilsen (18th and Peoria) - Development Framework Plan,DPD,Economic Development,902 West 18th St,Pilsen Ind Corr,T-053,Pilsen Ind Corr,T-053,Acquisition of 902 W 18th St is needed to assemble property to allow for the development of a move comprehensive and contextual development framework plan.,4400000,4400000,1,04/26/2022,Approved,POINT (-87.64993 41.85804)
Building Automation System (BAS) - CPS Central Region,CPS,Schools,,Central West,T-086,Central West,T-086,"This school has an obsolete and failing Building Automation System that controls the environmental mechanical system in the building.Â  This project would include upgrading, repairing and re-certifying the system so the district can provide controlled heat",673042,1789042,1,08/24/2021,Approved,POINT (-87.63245 41.88425)
Leland ES - Mechanical,CPS,Schools,512 South Lavergne Av,Harrison Central,T-144,Harrison Central,T-144,Provide a mechanical system replacement.,1000000,9800000,0.1,10/19/2021,Referred Back to Department,POINT (-87.74984 41.87322)
